observation time,reception time,vehicle identifier,latitude degrees,longitude degrees,elevation meters,heading
20130729135809,201307291819,,-9999,-9999,-9999,0
20130729135810,201307291819,,-9999,-9999,-9999,0
20130729135811,201307291819,,-9999,-9999,-9999,0
20130729135812,201307291819,,42.273940000000003,-83.270200000000003,160.559509,358.899994
20130729135813,201307291819,,42.273940000000003,-83.270200000000003,160.559509,358.899994
20130729135814,201307291819,,42.27422,-83.270210000000006,160.757614,358.700012
20130729135815,201307291819,,42.274500000000003,-83.270240000000001,158.660583,355.600006
20130729135816,201307291819,,42.274679999999996,-83.270259999999993,158.358841,356.100006
20130729135817,201307291819,,42.274859999999997,-83.270290000000003,157.758392,352.700012
20130729135818,201307291819,,42.275039999999997,-83.270300000000006,158.660583,356.5
20130729135819,201307291819,,42.275219999999997,-83.270319999999998,158.758133,355.299988
20130729135820,201307291819,,42.275219999999997,-83.270319999999998,158.758133,355.299988
20130729135821,201307291819,,42.275399999999998,-83.270349999999993,158.358841,353.399994
20130729135822,201307291819,,42.275700000000001,-83.27037,158.160736,357.5
20130729135823,201307291819,,42.275950000000002,-83.270380000000003,158.459427,358
20130729135824,201307291819,,42.276119999999999,-83.270390000000006,159.257996,357.100006
20130729135825,201307291819,,42.276119999999999,-83.270390000000006,159.257996,357.100006
20130729135826,201307291819,,42.276400000000002,-83.270420000000001,160.160217,355
20130729135827,201307291819,,42.276400000000002,-83.270420000000001,160.160217,355
20130729135828,201307291819,,42.276769999999999,-83.270449999999997,160.458908,357.5
20130729135829,201307291819,,42.27702,-83.270449999999997,160.458908,359.5
20130729135830,201307291819,,42.277189999999997,-83.270439999999994,160.458908,1.10000002
20130729135831,201307291819,,42.277369999999998,-83.270449999999997,159.358597,358
20130729135832,201307291819,,42.277560000000001,-83.270470000000003,159.257996,356.299988
20130729135833,201307291819,,42.277740000000001,-83.270480000000006,159.757874,357.700012
20130729135834,201307291819,,42.277929999999998,-83.270480000000006,159.959045,358.799988
20130729135835,201307291819,,42.278120000000001,-83.270489999999995,160.358322,359.399994
20130729135836,201307291819,,42.278300000000002,-83.270499999999998,160.458908,357.600006
20130729135837,201307291819,,42.278480000000002,-83.270499999999998,160.757614,358.299988
20130729135838,201307291819,,42.278669999999998,-83.270510000000002,161.159958,357.899994
20130729135839,201307291819,,42.278849999999998,-83.270529999999994,161.257492,356.700012
20130729135840,201307291819,,42.279029999999999,-83.270529999999994,161.857956,358.5
20130729135841,201307291819,,42.279029999999999,-83.270529999999994,161.857956,358.5
20130729135842,201307291819,,42.279299999999999,-83.270539999999997,162.059113,358.399994
20130729135843,201307291819,,42.27955,-83.27055,161.75737,358.299988
20130729135844,201307291819,,42.27955,-83.27055,161.75737,358.299988
20130729135845,201307291819,,42.279809999999998,-83.270570000000006,162.059113,357.399994
20130729135846,201307291819,,42.280059999999999,-83.270560000000003,160.757614,0.800000012
20130729135847,201307291819,,42.280059999999999,-83.270560000000003,160.757614,0.800000012
20130729135848,201307291819,,42.280059999999999,-83.270560000000003,160.757614,0.800000012
20130729135849,201307291819,,42.280059999999999,-83.270560000000003,160.757614,0.800000012
20130729135850,201307291819,,42.280059999999999,-83.270560000000003,160.757614,0.800000012
20130729135851,201307291819,,42.280859999999997,-83.270600000000002,163.958008,357.899994
20130729135852,201307291819,,42.281129999999997,-83.27064,160.358322,354.600006
20130729135853,201307291819,,42.281129999999997,-83.27064,160.358322,354.600006
20130729135854,201307291819,,42.281419999999997,-83.270669999999996,158.858719,355.299988
20130729135855,201307291819,,42.281419999999997,-83.270669999999996,158.858719,355.299988
20130729135856,201307291819,,42.281419999999997,-83.270669999999996,158.858719,355.299988
20130729135857,201307291819,,42.281419999999997,-83.270669999999996,158.858719,355.299988
20130729135858,201307291819,,42.282179999999997,-83.270660000000007,161.159958,0.5
20130729135859,201307291819,,42.28246,-83.270669999999996,160.358322,358.600006
20130729135900,201307291819,,42.28246,-83.270669999999996,160.358322,358.600006
20130729135901,201307291819,,42.28246,-83.270669999999996,160.358322,358.600006
20130729135902,201307291819,,42.28246,-83.270669999999996,160.358322,358.600006
20130729135903,201307291819,,42.283140000000003,-83.270690000000002,161.559235,358.700012
20130729135904,201307291819,,42.283140000000003,-83.270690000000002,161.559235,358.700012
20130729135905,201307291819,,42.283540000000002,-83.270679999999999,161.358078,1.29999995
20130729135906,201307291819,,42.283540000000002,-83.270679999999999,161.358078,1.29999995
20130729135907,201307291819,,42.283540000000002,-83.270679999999999,161.358078,1.29999995
20130729135908,201307291819,,42.283540000000002,-83.270679999999999,161.358078,1.29999995
20130729135909,201307291819,,42.283540000000002,-83.270679999999999,161.358078,1.29999995
20130729135910,201307291819,,42.284500000000001,-83.270759999999996,158.459427,356.299988
20130729135911,201307291819,,42.284500000000001,-83.270759999999996,158.459427,356.299988
20130729135912,201307291819,,42.284500000000001,-83.270759999999996,158.459427,356.299988
20130729135913,201307291819,,42.285029999999999,-83.270769999999999,156.258759,359.100006
20130729135914,201307291819,,42.28528,-83.270759999999996,154.460449,2.70000005
20130729135915,201307291819,,42.28528,-83.270759999999996,154.460449,2.70000005
20130729135916,201307291819,,42.28528,-83.270759999999996,154.460449,2.70000005
20130729135917,201307291819,,42.28528,-83.270759999999996,154.460449,2.70000005
20130729135918,201307291819,,42.28528,-83.270759999999996,154.460449,2.70000005
20130729135919,201307291819,,42.28528,-83.270759999999996,154.460449,2.70000005
20130729135920,201307291819,,42.28528,-83.270759999999996,154.460449,2.70000005
20130729135921,201307291819,,42.286389999999997,-83.270809999999997,159.059875,357.799988
20130729135922,201307291819,,42.286389999999997,-83.270809999999997,159.059875,357.799988
20130729135923,201307291819,,42.286740000000002,-83.270769999999999,160.757614,5.30000019
20130729135924,201307291819,,42.286740000000002,-83.270769999999999,160.757614,5.30000019
20130729135925,201307291819,,42.287039999999998,-83.270820000000001,154.661621,352.600006
20130729135926,201307291819,,42.287039999999998,-83.270820000000001,154.661621,352.600006
20130729135927,201307291819,,42.287039999999998,-83.270820000000001,154.661621,352.600006
20130729135928,201307291819,,42.287039999999998,-83.270820000000001,154.661621,352.600006
20130729135929,201307291819,,42.287039999999998,-83.270820000000001,154.661621,352.600006
20130729135930,201307291819,,42.287039999999998,-83.270820000000001,154.661621,352.600006
20130729135931,201307291819,,42.287039999999998,-83.270820000000001,154.661621,352.600006
20130729135932,201307291819,,42.288249999999998,-83.270880000000005,157.660858,358.100006
20130729135933,201307291819,,42.288249999999998,-83.270880000000005,157.660858,358.100006
20130729135934,201307291819,,42.288600000000002,-83.270920000000004,155.560776,355.100006
20130729135935,201307291819,,42.288600000000002,-83.270920000000004,155.560776,355.100006
20130729135936,201307291819,,42.288989999999998,-83.270920000000004,156.359344,0.400000006
20130729135937,201307291819,,42.289230000000003,-83.270889999999994,153.860001,3.70000005
20130729135938,201307291819,,42.289400000000001,-83.270899999999997,153.561295,359.5
20130729135939,201307291819,,42.289580000000001,-83.270910000000001,154.161743,356.700012
20130729135940,201307291819,,42.289760000000001,-83.270930000000007,153.960571,356.399994
20130729135941,201307291819,,42.289929999999998,-83.270939999999996,153.460709,356
20130729135942,201307291819,,42.290100000000002,-83.270949999999999,153.360123,358.200012
20130729135943,201307291819,,42.29027,-83.270949999999999,154.859741,359.100006
20130729135944,201307291819,,42.29045,-83.270960000000002,155.060913,358.200012
20130729135945,201307291819,,42.29045,-83.270960000000002,155.060913,358.200012
20130729135946,201307291819,,42.290730000000003,-83.270970000000005,154.759155,358.200012
20130729135947,201307291819,,42.290979999999998,-83.270979999999994,154.759155,358.100006
20130729135948,201307291819,,42.290979999999998,-83.270979999999994,154.759155,358.100006
20130729135949,201307291819,,42.291249999999998,-83.270989999999998,154.859741,359.5
20130729135950,201307291819,,42.291530000000002,-83.270979999999994,156.060654,0.699999988
20130729135951,201307291819,,42.291690000000003,-83.270979999999994,156.459946,0.699999988
20130729135952,201307291819,,42.291690000000003,-83.270979999999994,156.459946,0.699999988
20130729135953,201307291819,,42.291690000000003,-83.270979999999994,156.459946,0.699999988
20130729135954,201307291819,,42.291690000000003,-83.270979999999994,156.459946,0.699999988
20130729135955,201307291819,,42.291690000000003,-83.270979999999994,156.459946,0.699999988
20130729135956,201307291819,,42.29251,-83.270960000000002,157.858963,1
20130729135957,201307291819,,42.292740000000002,-83.271029999999996,157.758392,346.799988
20130729135958,201307291819,,42.292879999999997,-83.271050000000002,156.359344,354
20130729135959,201307291819,,42.292879999999997,-83.271050000000002,156.359344,354
